Web Search interest: dolar; colombia stock exchange; ecopetrol; precio dolar; bolsa de valores colombia
Colombia; 2004 - present

Interest over time
Week,dolar,colombia stock exchange,ecopetrol,precio dolar,bolsa de valores colombia
2011-10-23 - 2011-10-29,13,0,14,3,3
2011-10-30 - 2011-11-05,13,0,13,3,2
2011-11-06 - 2011-11-12,12,0,10,4,2
2011-11-13 - 2011-11-19,13,0,10,4,2
2011-11-20 - 2011-11-26,13,0,10,4,2
2011-11-27 - 2011-12-03,14,0,10,4,2
2011-12-04 - 2011-12-10,13,0,9,4,2
2011-12-11 - 2011-12-17,14,0,10,4,2
2011-12-18 - 2011-12-24,12,0,9,4,2
2011-12-25 - 2011-12-31,13,0,9,4,2
2012-01-01 - 2012-01-07,16,0,10,4,2
2012-01-08 - 2012-01-14,15,0,11,4,2
2012-01-15 - 2012-01-21,15,0,11,4,2
2012-01-22 - 2012-01-28,15,0,11,4,2
2012-01-29 - 2012-02-04,15,0,12,4,2
2012-02-05 - 2012-02-11,15,0,12,4,2
2012-02-12 - 2012-02-18,14,0,13,4,2
2012-02-19 - 2012-02-25,13,0,13,3,2
2012-02-26 - 2012-03-03,14,0,13,4,2
2012-03-04 - 2012-03-10,13,0,12,4,2
2012-03-11 - 2012-03-17,14,0,12,4,2
2012-03-18 - 2012-03-24,13,0,13,4,2
2012-03-25 - 2012-03-31,13,0,12,3,2
2012-04-01 - 2012-04-07,11,0,10,3,2
2012-04-08 - 2012-04-14,12,0,11,3,2
2012-04-15 - 2012-04-21,11,0,12,3,2
2012-04-22 - 2012-04-28,12,0,15,3,2
2012-04-29 - 2012-05-05,11,0,11,3,2
2012-05-06 - 2012-05-12,12,0,10,3,2
2012-05-13 - 2012-05-19,13,0,10,3,2
2012-05-20 - 2012-05-26,14,0,10,3,2
2012-05-27 - 2012-06-02,14,0,10,4,2
2012-06-03 - 2012-06-09,14,0,9,4,1
2012-06-10 - 2012-06-16,13,0,8,3,1
2012-06-17 - 2012-06-23,13,0,9,3,1
2012-06-24 - 2012-06-30,13,0,10,3,1
2012-07-01 - 2012-07-07,12,0,10,4,1
2012-07-08 - 2012-07-14,12,0,11,3,1
2012-07-15 - 2012-07-21,10,0,9,3,1
2012-07-22 - 2012-07-28,11,0,10,3,1
2012-07-29 - 2012-08-04,11,0,10,3,1
2012-08-05 - 2012-08-11,11,0,9,3,1
2012-08-12 - 2012-08-18,12,0,10,3,1
2012-08-19 - 2012-08-25,13,0,9,3,1
2012-08-26 - 2012-09-01,12,0,9,3,2
2012-09-02 - 2012-09-08,12,0,8,3,2
2012-09-09 - 2012-09-15,12,0,8,3,2
